;variable;v3-v2_MD;v3-v2_MD_before;v3-v2_MD_after
0;t_air;-0.2567472702561595;-0.32943295497564407;-0.21799982006945484
1;p_air;0.522702912626869;0.5655070440290046;0.5894879682424516
2;u;-0.22010478668528366;-0.33497646055497965;-0.16187034693420044
3;vp;-0.30385542440948043;-0.21882452540664588;-0.3231173478857201
4;ra;-2.3908174795477066;0.6054713348510177;-3.797889225102722
