product;var_metric;count;mean;std;min;25%;50%;75%;max;5%;95%
AgERA5;ra_bias;174.0;51.640984004281115;23.916405819637863;-4.922993634463428;36.99510457664093;47.629349314821084;59.25041818289751;207.22036207516123;25.151466150631375;86.52562779287327
AgERA5;ra_pbias;174.0;23.172207566410293;10.592212322147473;-2.335101490793414;16.718703048229983;21.974647095293463;27.02511023096819;97.05056842797056;10.800317030726873;38.14254024560786
AgERA5;ra_r2;174.0;0.36926164706179637;0.1940465643501657;0.0226002413159598;0.22447544770098257;0.3417494506816404;0.507220643137719;0.8199743376395342;0.06410439859787649;0.7430156100735066
AgERA5;ra_rmse;174.0;67.96318107844931;25.67260160668238;35.80013322937054;53.34462512092257;62.73404002516773;76.30149547451471;214.5614213827984;40.740581574195;121.66467534580165
AgERA5;t_air_bias;174.0;-0.0777562010623764;1.0350089980544004;-2.4657085210185707;-0.600941131334437;-0.15698011166061787;0.3220985458925405;7.506631350146687;-1.3701288339751105;1.2090257274329628
AgERA5;t_air_pbias;174.0;-0.4511369913249529;4.734885832715159;-13.252352629033734;-2.689843362171876;-0.663040381347417;1.301053253936875;28.51837578480945;-7.475956017665303;5.750482491661887
AgERA5;t_air_r2;174.0;0.7983976822743377;0.11474928407747435;0.4424930057725898;0.7406649910699135;0.8155020403798686;0.8852490490399039;0.981957737850353;0.5676140409748781;0.9454035860899979
AgERA5;t_air_rmse;174.0;1.0791297756014424;0.6953364657106137;0.5076145723675489;0.7528371327958614;0.8985401679520431;1.148469152824014;7.63254200753586;0.6088635319274674;2.031923977753926
AgERA5;u_bias;174.0;0.6040183994313414;0.6373811766017001;-2.590592318132195;0.29787656468458407;0.6131899706836084;0.9462578584086726;2.875918812720644;-0.4571714573542512;1.4814884169048856
AgERA5;u_pbias;174.0;29.171381155174522;31.65336476699726;-188.2954660826847;17.11364692182885;35.66222472101827;48.2613499996384;79.05434501199866;-28.165062317879418;63.59306719778098
AgERA5;u_r2;174.0;0.2715124981397834;0.21980905878950827;0.0005610490923507;0.07490727206707787;0.24584824521396;0.4133925078947881;0.8750654090313688;0.004202272318604685;0.6704899887781124
AgERA5;u_rmse;174.0;0.9811216224307238;0.8182681205574281;0.2733602663414797;0.5729379016507838;0.8169210381884966;1.1812600909317792;9.226012632793593;0.37446932281147133;1.7699421420653552
AgERA5;vp_bias;139.0;-2.2961110974332;0.9277240135481948;-4.879956229790957;-2.8097314455538465;-2.3299473534774915;-1.7929042510841038;0.9466279945892986;-3.814985435136986;-0.8511794177283657
AgERA5;vp_pbias;139.0;-12.267173639009307;5.628177155179419;-31.21382520743668;-15.370714351386301;-11.85328065669126;-9.2211000459803;3.673702314552172;-21.347030721348368;-3.951485518257507
AgERA5;vp_r2;139.0;0.7943052221008932;0.10589314221056824;0.4292728825688888;0.7321288595449372;0.791863248541179;0.8694779975151223;0.971433226361118;0.622760111018273;0.9594090116897438
AgERA5;vp_rmse;139.0;2.6627283977910827;0.7966057952089881;1.0082510797074424;2.1774982850414446;2.6483204549770765;3.1266385130112146;5.143178014036442;1.460982701370455;4.0561694293508435
ERA5;p_air_bias;174.0;0.6992337925721746;18.7050596338528;-81.71974180946006;-4.699103411163515;-0.7734601327563237;6.579429631103945;77.35745499006535;-26.34854991690568;33.341174501788906
ERA5;p_air_pbias;174.0;0.06346007477743616;2.1280191248320266;-9.801939507327036;-0.5202075252890418;-0.07871810411183144;0.716069078214044;8.6117297478644;-2.883718158405173;3.8704901926574995
ERA5;p_air_r2;174.0;0.9008602735086704;0.1424663628704823;0.1809547481557114;0.8894664686596466;0.9558865326684962;0.9809226453193434;0.9977414766177384;0.5801102752419828;0.9939673987220043
ERA5;p_air_rmse;174.0;11.708171045159176;14.59308984627247;0.2617636220870554;2.770942065742233;5.766396874679075;14.79156884705462;81.72584357986767;0.8929550379304596;42.54675177815612
ERA5;ra_bias;174.0;55.151731573787586;23.70210683609236;8.1452733950661;42.93713796757216;51.27258452707342;65.92965044719239;211.91323669410156;25.696980591910066;89.15879530400314
ERA5;ra_pbias;174.0;24.395333758239214;10.471828215400969;3.63800515566782;19.0919332126972;22.636168617176224;28.82076623480281;97.11399935094605;10.567284446863107;38.08124425641192
ERA5;ra_r2;174.0;0.36090342110501283;0.1908772112006857;0.0144685095939582;0.2200258324159678;0.3371448111913361;0.5045891495811394;0.8187900308972405;0.06125712509329126;0.7364572382257066
ERA5;ra_rmse;174.0;72.36458577538163;25.337942972779704;35.636115449860995;57.68826616030147;67.00823687427257;80.80805759237451;220.9558149364085;43.82080376769218;124.22348156100304
ERA5;t_air_bias;174.0;0.5002361645741504;1.3889999318498194;-5.4278248289825966;-0.1955435921092373;0.3999054367259173;1.0867679869574847;6.525102149263686;-1.377501134966014;2.7536625630424583
ERA5;t_air_pbias;174.0;2.0329870954083327;6.451711230216586;-31.154386095374534;-0.8970456179602093;1.5243371179800262;4.934655724326502;25.749640175217493;-7.316963593491452;12.460237467727389
ERA5;t_air_r2;174.0;0.803832451196034;0.11082182001345708;0.3574652441421825;0.7551969760967133;0.8200909682081494;0.8853920944278341;0.9821684523031612;0.5724532482784809;0.9454367985401615
ERA5;t_air_rmse;174.0;1.3518168032051041;0.9497419292250093;0.417966390374781;0.7526915640043077;1.0678049262814473;1.5190046305181495;6.638922045647013;0.5494299624548469;3.327209890062201
ERA5;u_bias;174.0;0.5335654572137983;0.7121976219799488;-2.4325093073655077;0.18351866562206556;0.48258188849288364;0.8268468481696354;2.7709192399367755;-0.5704539246449188;1.7576147483795053
ERA5;u_pbias;174.0;24.90892514292989;33.7751737335729;-158.583781841954;11.40175465876436;33.235478907675315;46.79879419436347;84.22054290143579;-38.08047589506445;65.35248307307361
ERA5;u_r2;174.0;0.25882680780211037;0.2148053316578994;3.153520231204369e-07;0.06390276893465274;0.2333615999866166;0.39639627324528603;0.8804557966717987;0.0033779012793352155;0.6389108276088955
ERA5;u_rmse;174.0;0.9790940071134342;0.8510976805090574;0.2556840900658373;0.5316897426646301;0.7267712969967739;1.1872495604267983;9.203516432943797;0.34873808144952456;2.0559928880794867
ERA5;vp_bias;139.0;-1.0426757289171045;1.1559269597343065;-4.952304431327729;-1.6532403745241604;-1.0940778172264174;-0.39744218859681946;3.1501945941769844;-2.6310347626180417;0.7358780932967203
ERA5;vp_pbias;139.0;-5.345546046690051;6.160602119140344;-31.823857496889342;-8.130466700924046;-5.096212863290604;-2.1939750478991793;15.431061028607765;-15.68369064428789;3.406327460736819
ERA5;vp_r2;139.0;0.7954618848901013;0.11264152606421303;0.4158513070738266;0.7281864965767443;0.8061629983860267;0.8748357739357819;0.9731537458155972;0.615445701015181;0.9672689853329559
ERA5;vp_rmse;139.0;1.8640284789165686;0.7266966815727319;0.7650888869475256;1.3824333456698303;1.805617023794709;2.1674297925345645;5.199428643192073;0.8267665477155666;3.358351843154529
GEOS5;p_air_bias;174.0;0.29551998353404035;18.726932221557547;-69.38602786160372;-5.432927081261957;-1.1795927895614902;3.7862876847229225;75.30410135699098;-26.192546090211835;38.23516369694638
GEOS5;p_air_pbias;174.0;0.010567959707753868;2.12798867653467;-8.284566872570974;-0.5398237899447933;-0.12385763271811664;0.3994982425004483;8.665773204883761;-3.1321485595057537;4.0105538590919645
GEOS5;p_air_r2;174.0;0.8807637075385031;0.1407289724501333;0.1969016814465729;0.8569433305615725;0.9262902924117539;0.9668766286222796;0.9944454281445496;0.5854115043354924;0.9887500802535695
GEOS5;p_air_rmse;174.0;11.176735055935518;15.021817932971755;0.3097799194545638;2.197887325006161;4.685284264271615;13.196053951803199;75.30521330945746;0.7238479409932529;43.82498513389913
GEOS5;ra_bias;174.0;68.86031215959893;25.185755559195055;22.04735369241021;54.11803083444018;65.76677439719617;78.16367297891202;227.0042192859061;39.58970296525056;108.33501964818906
GEOS5;ra_pbias;174.0;28.62322815822379;10.024497478212478;9.012943685016651;23.177068170888955;27.48212198248394;31.990865463002038;97.30067852984156;17.251132008015247;42.82080735536151
GEOS5;ra_r2;174.0;0.3105814174510493;0.17656314638820572;0.0026076260335471;0.19722863201651153;0.2798866190882463;0.4053008450517712;0.8357533724757069;0.04260405050692283;0.687456581456399
GEOS5;ra_rmse;174.0;85.70839444776047;26.526483197347808;49.23808869966146;69.35085165646653;80.0219088741037;93.4090921764731;235.53187636219803;58.44467150822742;139.66193488688657
GEOS5;t_air_bias;174.0;0.10814834602087921;1.4908162856805391;-5.5425547822958485;-0.5209662652586149;0.0067827584538253495;0.5692094986241685;6.518226536433079;-1.7454840852530757;2.5097939700981695
GEOS5;t_air_pbias;174.0;0.21650294444881174;7.066425616126096;-32.02379161384492;-2.249668932383105;0.026906412070764798;2.365243133014683;27.04604895987898;-10.594582598375911;12.637708230484646
GEOS5;t_air_r2;174.0;0.6591586641043625;0.128500944282265;0.3170634377949644;0.5815344837345799;0.6606082831475324;0.7524496574035018;0.945473717941314;0.41313194067607767;0.8904946608434408
GEOS5;t_air_rmse;174.0;1.5722277340755917;0.9433618114155442;0.7840041453254655;1.0984308300770214;1.2302477694939098;1.615899281562932;6.6021265883737;0.8767219045507972;3.7436385247091635
GEOS5;u_bias;174.0;0.7481782457089312;0.684448843969919;-2.2948988597827613;0.39669432284431294;0.6972156359852573;1.1471863296980422;2.641803865321234;-0.28082077378986403;1.908435035968049
GEOS5;u_pbias;174.0;33.579294546129034;28.76764573223106;-137.29529495037684;22.820865957768703;38.988557025708545;52.699626427516144;87.28802577910852;-19.697226155292345;65.85496370297393
GEOS5;u_r2;174.0;0.23228827152549728;0.20695469575055916;2.347613604504828e-06;0.05207072917942562;0.18429374039907448;0.3808854381961844;0.8654159942924943;0.00229217533608022;0.6397803837691842
GEOS5;u_rmse;174.0;1.1516755196366306;0.8351649288417499;0.2217573875929141;0.6864586499483226;0.9815829609526948;1.4135499023461908;9.122420188672873;0.4629948971050738;2.228559827893177
GEOS5;vp_bias;139.0;-2.0706586988354476;1.2532766683794494;-5.156260144060989;-2.8086803669375406;-2.15068902158263;-1.3616797218002339;1.7263178840342484;-4.120788693322493;0.06258129216949868
GEOS5;vp_pbias;139.0;-10.609633438985187;6.907113069549671;-33.57453043068593;-14.172851629899132;-10.36335991474974;-6.6961179216021565;10.398552077366784;-22.104067255589005;0.4379503313705042
GEOS5;vp_r2;139.0;0.6995979748475437;0.14565796336813544;0.3607436191506263;0.614753714553823;0.7120720239846561;0.803796502071235;0.9433938165158268;0.4291485079764032;0.9239488262919863
GEOS5;vp_rmse;139.0;2.708389479124136;1.0162178984202799;0.722086906061141;1.9671550531700626;2.622957004702548;3.4383915653640766;5.421567209745929;0.9480161352799485;4.423654401835577
